Condition,Exon 7,Exon 5 (KO Target),Exon 3 (KO Target),Nr4a1_Total_Sum
KO,0.116656005,1.998561e-05,0.0,0.05432088895994883
WT,0.12283193,0.060266424,0.067501776,0.10567332724752342
